,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
32,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{164, 870}","{164, 869}","{164, 868}","{865, 164}","{164, 863}","{864, 163}","{859, 164}","{857, 163}","{857, 163}","{163, 854}","{163, 854}","{163, 853}","{848, 162}","{162, 847}","{162, 847}","{848, 161}","{161, 846}","{161, 845}","{161, 846}","{161, 847}","{161, 846}","{161, 846}","{161, 847}","{161, 847}","{161, 847}","{161, 847}","{848, 161}","{848, 161}","{848, 161}","{161, 847}","{161, 847}","{849, 161}","{161, 851}","{857, 161}","{161, 858}","{161, 861}","{161, 863}","{865, 161}","{161, 866}","{161, 866}","{161, 866}","{161, 867}","{162, 866}","{865, 162}","{864, 162}","{162, 866}","{162, 871}","{162, 874}","{163, 877}","{881, 163}",{0},"{880, 166}","{891, 165}","{892, 166}","{892, 166}","{892, 166}","{893, 165}","{893, 165}","{884, 167}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
33,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{861, 166}","{859, 166}","{857, 166}","{856, 166}","{165, 854}","{850, 166}","{848, 165}","{845, 166}","{843, 166}","{837, 166}","{166, 838}","{166, 838}","{166, 830}","{829, 165}","{828, 165}","{828, 165}","{826, 165}","{825, 165}","{824, 165}","{825, 165}","{824, 165}","{824, 165}","{826, 165}","{825, 165}","{825, 165}","{825, 165}","{826, 165}","{826, 165}","{826, 165}","{826, 165}","{826, 165}","{828, 165}","{165, 830}","{835, 165}","{837, 165}","{841, 165}","{843, 165}","{844, 165}","{845, 165}","{165, 846}","{845, 165}","{165, 847}","{848, 165}","{164, 852}","{164, 853}","{857, 163}","{163, 863}","{865, 163}","{164, 871}","{873, 165}",{0},"{166, 879}","{881, 167}","{883, 167}","{884, 167}","{166, 886}","{166, 886}","{888, 166}","{884, 166}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
34,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{854, 167}","{851, 167}","{849, 167}","{848, 167}","{166, 846}","{842, 167}","{167, 839}","{840, 166}","{837, 166}","{167, 831}","{833, 166}","{832, 166}","{826, 166}","{824, 166}","{165, 823}","{824, 165}","{165, 822}","{821, 165}","{821, 165}","{165, 822}","{821, 165}","{821, 165}","{165, 823}","{165, 823}","{824, 164}","{824, 164}","{825, 164}","{824, 164}","{165, 823}","{825, 164}","{825, 164}","{827, 164}","{164, 830}","{835, 164}","{164, 836}","{840, 164}","{843, 164}","{164, 844}","{164, 845}","{164, 845}","{164, 845}","{164, 847}","{845, 165}","{164, 847}","{164, 847}","{850, 164}","{164, 854}","{856, 165}","{861, 165}","{864, 166}",{0},"{876, 166}","{872, 168}","{168, 875}","{168, 876}","{168, 877}","{878, 167}","{878, 167}","{878, 167}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
35,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{167, 847}","{168, 845}","{168, 843}","{168, 842}","{167, 839}","{168, 836}","{168, 831}","{833, 167}","{167, 831}","{825, 167}","{827, 167}","{825, 167}","{820, 166}","{818, 166}","{817, 166}","{818, 166}","{816, 165}","{166, 814}","{165, 815}","{816, 165}","{165, 815}","{165, 815}","{817, 165}","{817, 165}","{818, 165}","{818, 165}","{819, 165}","{819, 165}","{818, 165}","{819, 165}","{819, 165}","{164, 821}","{824, 164}","{164, 829}","{164, 831}","{834, 164}","{164, 837}","{164, 839}","{164, 839}","{164, 839}","{840, 164}","{841, 165}","{840, 165}","{841, 165}","{840, 165}","{842, 165}","{165, 846}","{848, 166}","{853, 166}","{856, 167}",{0},"{166, 870}","{864, 169}","{169, 867}","{169, 869}","{169, 869}","{168, 870}","{169, 869}","{872, 168}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
36,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{168, 842}","{840, 168}","{168, 839}","{168, 837}","{168, 833}","{168, 830}","{169, 822}","{168, 825}","{826, 167}","{168, 819}","{168, 820}","{168, 818}","{813, 167}","{811, 167}","{811, 167}","{811, 166}","{809, 166}","{808, 166}","{808, 166}","{809, 166}","{808, 166}","{808, 166}","{810, 166}","{811, 166}","{811, 166}","{812, 165}","{812, 165}","{812, 165}","{812, 165}","{813, 165}","{813, 165}","{165, 815}","{818, 165}","{165, 822}","{824, 165}","{828, 165}","{165, 831}","{832, 165}","{833, 165}","{833, 165}","{833, 165}","{835, 165}","{833, 166}","{833, 166}","{832, 166}","{833, 166}","{837, 167}","{167, 839}","{845, 167}","{168, 847}",{0},"{167, 863}","{857, 170}","{170, 861}","{170, 862}","{170, 862}","{170, 863}","{170, 861}","{168, 865}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
37,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{164, 871}","{164, 870}","{164, 870}","{866, 164}","{865, 163}","{163, 863}","{163, 861}","{859, 163}","{162, 860}","{857, 162}","{857, 162}","{857, 162}","{161, 852}","{161, 851}","{161, 851}","{160, 854}","{160, 851}","{160, 851}","{160, 851}","{160, 852}","{160, 851}","{160, 851}","{160, 852}","{160, 852}","{160, 852}","{160, 852}","{160, 853}","{160, 853}","{160, 853}","{160, 853}","{160, 853}","{160, 854}","{856, 160}","{160, 862}","{864, 160}","{160, 866}","{160, 868}","{160, 870}","{160, 870}","{160, 871}","{160, 871}","{160, 871}","{161, 870}","{161, 867}","{865, 162}","{865, 162}","{162, 869}","{872, 162}","{163, 876}","{880, 164}",{0},"{881, 166}","{889, 165}","{891, 166}","{891, 166}","{890, 166}","{893, 165}","{893, 165}","{883, 167}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
38,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{165, 862}","{165, 862}","{860, 165}","{856, 165}","{853, 165}","{850, 165}","{848, 165}","{165, 846}","{844, 165}","{840, 165}","{836, 166}","{834, 166}","{826, 166}","{824, 166}","{166, 823}","{166, 823}","{821, 166}","{820, 166}","{819, 166}","{820, 166}","{819, 166}","{820, 166}","{165, 823}","{826, 164}","{164, 828}","{164, 829}","{164, 829}","{164, 828}","{827, 164}","{164, 829}","{163, 831}","{833, 163}","{834, 163}","{164, 837}","{840, 164}","{164, 844}","{164, 847}","{848, 164}","{850, 163}","{851, 163}","{851, 163}","{163, 853}","{163, 854}","{163, 855}","{163, 855}","{857, 163}","{163, 861}","{164, 863}","{867, 164}","{165, 870}",{0},"{881, 165}","{880, 166}","{880, 167}","{882, 167}","{882, 167}","{884, 166}","{885, 166}","{882, 166}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
39,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{166, 855}","{166, 855}","{852, 166}","{849, 166}","{845, 166}","{842, 166}","{841, 165}","{842, 165}","{841, 165}","{835, 165}","{836, 165}","{164, 837}","{164, 830}","{164, 828}","{164, 829}","{163, 829}","{163, 828}","{825, 163}","{826, 163}","{826, 163}","{825, 163}","{826, 163}","{827, 163}","{163, 828}","{163, 829}","{162, 830}","{162, 831}","{162, 831}","{163, 829}","{162, 831}","{832, 162}","{833, 162}","{162, 837}","{162, 842}","{162, 843}","{162, 846}","{162, 850}","{162, 851}","{162, 852}","{162, 852}","{162, 851}","{163, 852}","{850, 163}","{849, 163}","{848, 164}","{164, 847}","{851, 164}","{853, 165}","{860, 165}","{166, 862}",{0},"{876, 165}","{874, 167}","{168, 873}","{877, 167}","{168, 875}","{876, 167}","{876, 167}","{876, 167}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
40,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{849, 166}","{166, 847}","{846, 167}","{843, 167}","{837, 167}","{836, 167}","{832, 167}","{835, 166}","{836, 165}","{165, 831}","{829, 166}","{829, 165}","{165, 823}","{821, 165}","{164, 821}","{164, 822}","{164, 820}","{819, 164}","{819, 164}","{164, 820}","{819, 164}","{164, 820}","{163, 822}","{164, 821}","{163, 822}","{163, 823}","{824, 163}","{824, 163}","{824, 163}","{824, 163}","{824, 163}","{826, 163}","{163, 829}","{834, 163}","{163, 836}","{840, 163}","{842, 163}","{843, 163}","{163, 845}","{163, 844}","{163, 844}","{163, 844}","{843, 164}","{842, 164}","{840, 164}","{840, 165}","{843, 165}","{166, 846}","{852, 166}","{167, 855}",{0},"{165, 871}","{168, 866}","{169, 866}","{169, 869}","{169, 868}","{168, 869}","{169, 867}","{168, 870}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
41,{0},{0},{0},{0},{0},{0},{0},{0},{0},"{843, 167}","{841, 167}","{841, 167}","{838, 167}","{168, 831}","{168, 829}","{169, 821}","{826, 167}","{165, 830}","{166, 823}","{821, 166}","{821, 166}","{817, 165}","{165, 814}","{165, 815}","{816, 165}","{164, 814}","{164, 813}","{164, 813}","{164, 814}","{164, 813}","{164, 813}","{164, 815}","{164, 815}","{816, 164}","{817, 164}","{817, 164}","{817, 164}","{817, 163}","{818, 163}","{818, 163}","{163, 820}","{163, 822}","{827, 163}","{163, 829}","{833, 163}","{835, 163}","{163, 836}","{163, 838}","{163, 838}","{163, 837}","{164, 838}","{164, 836}","{835, 165}","{834, 165}","{834, 165}","{836, 166}","{166, 839}","{845, 167}","{848, 167}",{0},"{864, 166}","{169, 859}","{170, 860}","{169, 862}","{169, 861}","{169, 863}","{170, 859}","{168, 865}",{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
